allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
10	64	M	0.01804656960120481	50	0	5
10	64	P	0.01788461298048144	50	0	5
10	64	O	0.018208526221928197	51	0	4
10	64	D	0.01804656960120481	50	0	5
10	128	S	0.017595958686087924	51	0	4
10	128	M	0.01759595868608792	51	0	4
10	128	P	0.017749760502249058	51	0	4
10	128	O	0.01744215686992679	50	0	5
10	128	D	0.017595958686087928	51	0	4
10	256	S	0.01789879318964716	50	0	5
10	256	M	0.01789879318964716	50	0	5
10	256	P	0.017902417368567312	50	0	5
10	256	O	0.01789516901072701	50	0	5
10	256	D	0.01789879318964716	50	0	5
10	512	S	0.017830781100156255	50	0	5
10	512	M	0.017830781100156252	50	0	5
10	512	P	0.017831482852224446	50	0	5
10	512	O	0.017830079348088057	50	0	5
10	512	D	0.017830781100156252	50	0	5
10	1024	S	0.018375596046137022	50	0	5
10	1024	M	0.018375596046137022	50	0	5
10	1024	P	0.018373562186862074	50	0	5
10	1024	O	0.01837762990541197	50	0	5
10	1024	D	0.018375596046137022	50	0	5
10	1080	S	0.018437961957638974	50	0	5
10	1080	M	0.01843796195763898	50	0	5
10	1080	P	0.018435430539882187	50	0	5
10	1080	O	0.018440493375395765	50	0	5
10	1080	D	0.01843796195763898	50	0	5
11	64	S	0.01975290871174623	51	0	4
11	64	M	0.01975290871174623	51	0	4
11	64	P	0.019517575789171845	50	0	5
11	64	O	0.01998824163432062	52	0	3
11	64	D	0.01975290871174623	51	0	4
11	128	S	0.019358845189949323	51	0	4
11	128	M	0.019358845189949323	51	0	4
11	128	P	0.019290674457789397	51	0	4
11	128	O	0.019427015922109252	51	0	4
11	128	D	0.019358845189949323	51	0	4
11	256	S	0.01828247550938323	50	0	5
11	256	M	0.018282475509383233	50	0	5
11	256	P	0.018294747793550364	50	0	5
11	256	O	0.0182702032252161	50	0	5
11	256	D	0.01828247550938323	50	0	5
11	512	S	0.018411088731737465	50	0	5
11	512	M	0.018411088731737465	50	0	5
11	512	P	0.018395265206612037	50	0	5
11	512	O	0.01842691225686289	50	0	5
11	512	D	0.018411088731737465	50	0	5
11	1024	S	0.018452781380256033	50	0	5
11	1024	M	0.018452781380256033	50	0	5
11	1024	P	0.018435817226736706	50	0	5
11	1024	O	0.018469745533775353	50	0	5
11	1024	D	0.018452781380256036	50	0	5
11	1080	S	0.018411084319440118	50	0	5
11	1080	M	0.01841108431944011	50	0	5
11	1080	P	0.01839118796822171	50	0	5
11	1080	O	0.018430980670658525	50	0	5
11	1080	D	0.01841108431944011	50	0	5
12	64	S	0.018081821418737886	50	0	5
12	64	M	0.018081821418737886	50	0	5
12	64	P	0.0177117170886051	50	0	5
12	64	O	0.018451925748870668	50	0	5
12	64	D	0.018081821418737886	50	0	5
12	128	S	0.018353794552850487	50	0	5
12	128	M	0.018353794552850487	50	0	5
12	128	P	0.018254832542032536	50	0	5
12	128	O	0.01845275656366844	50	0	5
12	128	D	0.018353794552850487	50	0	5
12	256	S	0.01805465299115746	50	0	5
12	256	M	0.018054652991157456	50	0	5
12	256	P	0.01798696849322618	50	0	5
12	256	O	0.018122337489088734	50	0	5
12	256	D	0.018054652991157463	50	0	5
12	512	S	0.018509763441085746	50	0	5
12	512	M	0.018509763441085746	50	0	5
12	512	P	0.018512300209215626	50	0	5
12	512	O	0.018507226672955863	50	0	5
12	512	D	0.018509763441085746	50	0	5
12	1024	S	0.01857944701732817	50	0	5
12	1024	M	0.01857944701732817	50	0	5
12	1024	P	0.01859191634898828	50	0	5
12	1024	O	0.018566977685668055	50	0	5
12	1024	D	0.01857944701732817	50	0	5
12	1080	S	0.018650576722154255	50	0	5
12	1080	M	0.01865057672215426	50	0	5
12	1080	P	0.01866095779959569	50	0	5
12	1080	O	0.018640195644712823	50	0	5
12	1080	D	0.01865057672215425	50	0	5
13	64	S	0.016654213850672384	50	0	5
13	64	M	0.016654213850672388	50	0	5
13	64	P	0.01610240499575992	50	0	5
13	64	O	0.017206022705584852	50	0	5
13	64	D	0.01665421385067239	50	0	5
